homology_cluster_id,gene_name,gene_type,genome_id,physical_cluster_id
3368,BMC20S-2-N1_bin.172.purify_k141_364697_3,known_defense,BMC20S-2-N1_bin.172.purify_k141_364697,BMC20S-2-N1_bin.172.purify_k141_364697_2355-4214
3368,BMC20S-N1-N1_bin.160.purify_k141_97696_2,known_defense,BMC20S-N1-N1_bin.160.purify_k141_97696,BMC20S-N1-N1_bin.160.purify_k141_97696_9-2293
3368,BMC20S-N1-N1_bin.38.purify_k141_49509_1,known_defense,BMC20S-N1-N1_bin.38.purify_k141_49509,BMC20S-N1-N1_bin.38.purify_k141_49509_103-8025
3368,CC-20S-2-N1_bin.87.purify_k141_1141405_3,candidate,CC-20S-2-N1_bin.87.purify_k141_1141405,CC-20S-2-N1_bin.87.purify_k141_1141405_2420-5622
3368,KMC-20S-1-N1_bin.129.purify_k141_3285315_3,known_defense,KMC-20S-1-N1_bin.129.purify_k141_3285315,KMC-20S-1-N1_bin.129.purify_k141_3285315_2356-5755
3368,NMC-S-4-N1_bin.103.purify_k141_137733_3,known_defense,NMC-S-4-N1_bin.103.purify_k141_137733,NMC-S-4-N1_bin.103.purify_k141_137733_673-2964
3368,NMC-S-8-N1_bin.205.purify_k141_690485_2,known_defense,NMC-S-8-N1_bin.205.purify_k141_690485,NMC-S-8-N1_bin.205.purify_k141_690485_345-2590
3368,QHH17-N1_bin.82.purify_k141_787634_3,candidate,QHH17-N1_bin.82.purify_k141_787634,QHH17-N1_bin.82.purify_k141_787634_103-5976
3368,QHH6-N1_bin.242.purify_k141_1003755_4,known_defense,QHH6-N1_bin.242.purify_k141_1003755,QHH6-N1_bin.242.purify_k141_1003755_1604-6506
3368,QHH7-N1_bin.140.purify_k141_207922_3,known_defense,QHH7-N1_bin.140.purify_k141_207922,QHH7-N1_bin.140.purify_k141_207922_2935-4937
3368,QHH8-N1_bin.138.purify_k141_718259_22,candidate,QHH8-N1_bin.138.purify_k141_718259,QHH8-N1_bin.138.purify_k141_718259_22635-27350
3368,SLC-S-7-N1_bin.177.purify_k141_265814_48,known_defense,SLC-S-7-N1_bin.177.purify_k141_265814,SLC-S-7-N1_bin.177.purify_k141_265814_38135-41567
3368,SLHSD1-N1_bin.81.purify_k141_2961690_10,known_defense,SLHSD1-N1_bin.81.purify_k141_2961690,SLHSD1-N1_bin.81.purify_k141_2961690_7072-10203
3368,YM-S-27.0m-N1_bin.211.purify_k141_92571_9,known_defense,YM-S-27.0m-N1_bin.211.purify_k141_92571,YM-S-27.0m-N1_bin.211.purify_k141_92571_4341-7672
3368,YZYC-20S-1-N1_bin.10.purify_k141_2573750_3,known_defense,YZYC-20S-1-N1_bin.10.purify_k141_2573750,YZYC-20S-1-N1_bin.10.purify_k141_2573750_978-2601
3368,YZYC-20S-2-N1_bin.32.purify_k141_1074721_2,known_defense,YZYC-20S-2-N1_bin.32.purify_k141_1074721,YZYC-20S-2-N1_bin.32.purify_k141_1074721_712-6502
3368,ZJ-S-05.4m-N1_bin.212.purify_k141_9590_8,candidate,ZJ-S-05.4m-N1_bin.212.purify_k141_9590,ZJ-S-05.4m-N1_bin.212.purify_k141_9590_9097-13489
3369,TBLU-07-N1_bin.38.purify_k141_1527513_5,candidate,TBLU-07-N1_bin.38.purify_k141_1527513,TBLU-07-N1_bin.38.purify_k141_1527513_3703-5603
3370,TLSD-N1_bin.47.purify_k141_503635_61,candidate,TLSD-N1_bin.47.purify_k141_503635,TLSD-N1_bin.47.purify_k141_503635_77234-81777
3371,ZJ-S-N13.9m-N2_bin.194.purify_k141_1375349_2,candidate,ZJ-S-N13.9m-N2_bin.194.purify_k141_1375349,ZJ-S-N13.9m-N2_bin.194.purify_k141_1375349_758-2451
3372,ZJZBSD-s04-N1_bin.70.purify_k141_1472835_3,candidate,ZJZBSD-s04-N1_bin.70.purify_k141_1472835,ZJZBSD-s04-N1_bin.70.purify_k141_1472835_77-1864
3373,NMC-S-8-N1_bin.43.purify_k141_288337_5,candidate,NMC-S-8-N1_bin.43.purify_k141_288337,NMC-S-8-N1_bin.43.purify_k141_288337_506-3060
3374,202104TB-W32-N1_bin.44.purify_k141_883312_7,known_defense,202104TB-W32-N1_bin.44.purify_k141_883312,202104TB-W32-N1_bin.44.purify_k141_883312_2522-5073
3374,202106QH-W11-N1_bin.38.purify_k141_1268415_9,known_defense,202106QH-W11-N1_bin.38.purify_k141_1268415,202106QH-W11-N1_bin.38.purify_k141_1268415_8456-11007
3374,NMC-S-5-N1_bin.135.purify_k141_1304970_2,known_defense,NMC-S-5-N1_bin.135.purify_k141_1304970,NMC-S-5-N1_bin.135.purify_k141_1304970_1260-3905
3375,202104TB-W48-N1_bin.11.purify_k141_2091668_2,known_defense,202104TB-W48-N1_bin.11.purify_k141_2091668,202104TB-W48-N1_bin.11.purify_k141_2091668_1-2214
3376,202104TB-W51-N1_bin.141.purify_k141_1622954_5,known_defense,202104TB-W51-N1_bin.141.purify_k141_1622954,202104TB-W51-N1_bin.141.purify_k141_1622954_1464-4060
3377,202104TB-W60-N1_bin.90.purify_k141_1308840_1,known_defense,202104TB-W60-N1_bin.90.purify_k141_1308840,202104TB-W60-N1_bin.90.purify_k141_1308840_1-1700
3377,YM-S-43m-N3_bin.114.purify_k141_133290_3,candidate,YM-S-43m-N3_bin.114.purify_k141_133290,YM-S-43m-N3_bin.114.purify_k141_133290_660-2615
3378,202104TB-W71-N1_bin.101.purify_k141_1639767_5,candidate,202104TB-W71-N1_bin.101.purify_k141_1639767,202104TB-W71-N1_bin.101.purify_k141_1639767_573-3670
3378,202106QH-W40-N1_bin.30.purify_k141_167399_3,candidate,202106QH-W40-N1_bin.30.purify_k141_167399,202106QH-W40-N1_bin.30.purify_k141_167399_374-3134
3379,202104TB-W78-N1_bin.31.purify_k141_748293_3,candidate,202104TB-W78-N1_bin.31.purify_k141_748293,202104TB-W78-N1_bin.31.purify_k141_748293_1431-3695
3380,202106QH-W19-N1_bin.213.purify_k141_3280921_5,candidate,202106QH-W19-N1_bin.213.purify_k141_3280921,202106QH-W19-N1_bin.213.purify_k141_3280921_3307-5016
3381,202009TB-N7_bin.32.purify_k141_404904_1,known_defense,202009TB-N7_bin.32.purify_k141_404904,202009TB-N7_bin.32.purify_k141_404904_1-1851
3381,202106QH-W18-N1_bin.381.purify_k141_3344313_13,candidate,202106QH-W18-N1_bin.381.purify_k141_3344313,202106QH-W18-N1_bin.381.purify_k141_3344313_11346-12601
3381,BGBMC-20S-2-N1_bin.221.purify_k141_74459_22,candidate,BGBMC-20S-2-N1_bin.221.purify_k141_74459,BGBMC-20S-2-N1_bin.221.purify_k141_74459_10502-12434
3382,CE-20S-1-N1_bin.78.purify_k141_792641_2,known_defense,CE-20S-1-N1_bin.78.purify_k141_792641,CE-20S-1-N1_bin.78.purify_k141_792641_2-2594
3383,CE-20S-3-N1_bin.80.purify_k141_284667_14,candidate,CE-20S-3-N1_bin.80.purify_k141_284667,CE-20S-3-N1_bin.80.purify_k141_284667_20683-24890
3383,CE-B-S-2-N1_bin.92.purify_k141_1338449_3,known_defense,CE-B-S-2-N1_bin.92.purify_k141_1338449,CE-B-S-2-N1_bin.92.purify_k141_1338449_431-4638
3383,NMC-S-8-N1_bin.147.purify_k141_337060_2,known_defense,NMC-S-8-N1_bin.147.purify_k141_337060,NMC-S-8-N1_bin.147.purify_k141_337060_478-4685
3384,GMZ14-N1_bin.102.purify_k141_679127_6,candidate,GMZ14-N1_bin.102.purify_k141_679127,GMZ14-N1_bin.102.purify_k141_679127_1232-5897
3384,NRPC-20S-1-N1_bin.12.purify_k141_175200_2,candidate,NRPC-20S-1-N1_bin.12.purify_k141_175200,NRPC-20S-1-N1_bin.12.purify_k141_175200_1270-2702
3385,JC-20S-2-N1_bin.117.purify_k141_681048_7,candidate,JC-20S-2-N1_bin.117.purify_k141_681048,JC-20S-2-N1_bin.117.purify_k141_681048_4699-6514
3386,LLSD-7-N1_bin.33.purify_k141_2028824_3,known_defense,LLSD-7-N1_bin.33.purify_k141_2028824,LLSD-7-N1_bin.33.purify_k141_2028824_267-2020
3387,NMC-S-4-N1_bin.56.purify_k141_706020_7,candidate,NMC-S-4-N1_bin.56.purify_k141_706020,NMC-S-4-N1_bin.56.purify_k141_706020_5859-10104
3387,YM-S-27.0m-N1_bin.190.purify_k141_386314_16,candidate,YM-S-27.0m-N1_bin.190.purify_k141_386314,YM-S-27.0m-N1_bin.190.purify_k141_386314_15266-17175
3388,PC-20S-2-N1_bin.186.purify_k141_327467_2,candidate,PC-20S-2-N1_bin.186.purify_k141_327467,PC-20S-2-N1_bin.186.purify_k141_327467_95-5245
3389,QHH6-N1_bin.38.purify_k141_476655_3,known_defense,QHH6-N1_bin.38.purify_k141_476655,QHH6-N1_bin.38.purify_k141_476655_794-2139
3390,202104TB-W24-N1_bin.186.purify_k141_966279_4,candidate,202104TB-W24-N1_bin.186.purify_k141_966279,202104TB-W24-N1_bin.186.purify_k141_966279_1975-3842
3390,202104TB-W31-N1_bin.98.purify_k141_967052_4,known_defense,202104TB-W31-N1_bin.98.purify_k141_967052,202104TB-W31-N1_bin.98.purify_k141_967052_2591-4353
3390,KMC-20S-1-N1_bin.186.purify_k141_3672138_9,candidate,KMC-20S-1-N1_bin.186.purify_k141_3672138,KMC-20S-1-N1_bin.186.purify_k141_3672138_7612-9385
3390,KMC-20S-2-N1_bin.123.purify_k141_2282490_2,candidate,KMC-20S-2-N1_bin.123.purify_k141_2282490,KMC-20S-2-N1_bin.123.purify_k141_2282490_110-1883
3390,QHH7-N1_bin.58.purify_k141_1744080_4,candidate,QHH7-N1_bin.58.purify_k141_1744080,QHH7-N1_bin.58.purify_k141_1744080_2791-4553
3390,QHH8-N1_bin.32.purify_k141_114269_12,candidate,QHH8-N1_bin.32.purify_k141_114269,QHH8-N1_bin.32.purify_k141_114269_12882-14644
3390,TLSD-N1_bin.56.purify_k141_1700494_1,known_defense,TLSD-N1_bin.56.purify_k141_1700494,TLSD-N1_bin.56.purify_k141_1700494_400-2525
3391,202104TB-W58-N1_bin.8.purify_k141_2410158_11,known_defense,202104TB-W58-N1_bin.8.purify_k141_2410158,202104TB-W58-N1_bin.8.purify_k141_2410158_10854-12747
3391,202106QH-W10-N1_bin.101.purify_k141_729562_2,known_defense,202106QH-W10-N1_bin.101.purify_k141_729562,202106QH-W10-N1_bin.101.purify_k141_729562_712-2689
3391,CN-B-S-N1_bin.46.purify_k141_2118924_4,candidate,CN-B-S-N1_bin.46.purify_k141_2118924,CN-B-S-N1_bin.46.purify_k141_2118924_2013-3906
3391,YBJSD-S-3-N1_bin.109.purify_k141_216192_16,candidate,YBJSD-S-3-N1_bin.109.purify_k141_216192,YBJSD-S-3-N1_bin.109.purify_k141_216192_12205-14209
3392,YM-S-43m-N3_bin.100.purify_k141_244785_3,candidate,YM-S-43m-N3_bin.100.purify_k141_244785,YM-S-43m-N3_bin.100.purify_k141_244785_408-2806
3393,YM-S-43m-N3_bin.91.purify_k141_1778680_7,candidate,YM-S-43m-N3_bin.91.purify_k141_1778680,YM-S-43m-N3_bin.91.purify_k141_1778680_4904-8756
3394,YZYC-20S-1-N1_bin.96.purify_k141_2100275_6,candidate,YZYC-20S-1-N1_bin.96.purify_k141_2100275,YZYC-20S-1-N1_bin.96.purify_k141_2100275_5354-7050
3395,QHH17-N1_bin.175.purify_k141_1438599_8,candidate,QHH17-N1_bin.175.purify_k141_1438599,QHH17-N1_bin.175.purify_k141_1438599_4840-6324
3396,202104TB-W25-N1_bin.71.purify_k141_621888_4,known_defense,202104TB-W25-N1_bin.71.purify_k141_621888,202104TB-W25-N1_bin.71.purify_k141_621888_2106-4462
3397,202104TB-W32-N1_bin.134.purify_k141_943387_2,candidate,202104TB-W32-N1_bin.134.purify_k141_943387,202104TB-W32-N1_bin.134.purify_k141_943387_295-1839
3398,202104TB-W71-N1_bin.106.purify_k141_778711_16,candidate,202104TB-W71-N1_bin.106.purify_k141_778711,202104TB-W71-N1_bin.106.purify_k141_778711_16877-18900
3398,202104TB-W71-N1_bin.106.purify_k141_778711_17,candidate,202104TB-W71-N1_bin.106.purify_k141_778711,202104TB-W71-N1_bin.106.purify_k141_778711_16877-18900
3398,202106QH-W38-N1_bin.122.purify_k141_1310485_8,candidate,202106QH-W38-N1_bin.122.purify_k141_1310485,202106QH-W38-N1_bin.122.purify_k141_1310485_3001-3431
3399,202104TB-W75-N1_bin.57.purify_k141_3250719_2,known_defense,202104TB-W75-N1_bin.57.purify_k141_3250719,202104TB-W75-N1_bin.57.purify_k141_3250719_1-1781
3400,202106QH-W16-N1_bin.119.purify_k141_1353829_2,candidate,202106QH-W16-N1_bin.119.purify_k141_1353829,202106QH-W16-N1_bin.119.purify_k141_1353829_387-3976
3401,202106QH-W27-N1_bin.30.purify_k141_3340766_2,known_defense,202106QH-W27-N1_bin.30.purify_k141_3340766,202106QH-W27-N1_bin.30.purify_k141_3340766_1747-4188
3402,202106QH-W30-N1_bin.122.purify_k141_1018693_4,candidate,202106QH-W30-N1_bin.122.purify_k141_1018693,202106QH-W30-N1_bin.122.purify_k141_1018693_2250-5322
3403,202106QH-W39-N1_bin.140.purify_k141_12991_14,candidate,202106QH-W39-N1_bin.140.purify_k141_12991,202106QH-W39-N1_bin.140.purify_k141_12991_12071-14653
3403,QHH6-N1_bin.124.purify_k141_972812_14,candidate,QHH6-N1_bin.124.purify_k141_972812,QHH6-N1_bin.124.purify_k141_972812_12093-14675
3404,202106QH-W40-N1_bin.6.purify_k141_209448_2,candidate,202106QH-W40-N1_bin.6.purify_k141_209448,202106QH-W40-N1_bin.6.purify_k141_209448_1-1664
3405,BMC20S-2-N1_bin.64.purify_k141_2105564_2,known_defense,BMC20S-2-N1_bin.64.purify_k141_2105564,BMC20S-2-N1_bin.64.purify_k141_2105564_502-2105
3406,CE-B-S-2-N1_bin.68.purify_k141_51986_2,candidate,CE-B-S-2-N1_bin.68.purify_k141_51986,CE-B-S-2-N1_bin.68.purify_k141_51986_37-1816
3407,202104TB-W25-N1_bin.28.purify_k141_1013355_1,candidate,202104TB-W25-N1_bin.28.purify_k141_1013355,202104TB-W25-N1_bin.28.purify_k141_1013355_2-1139
3407,CC-20S-3-N1_bin.34.purify_k141_150687_3,candidate,CC-20S-3-N1_bin.34.purify_k141_150687,CC-20S-3-N1_bin.34.purify_k141_150687_210-1236
3407,CESD-S-3-N1_bin.9.purify_k141_801244_6,candidate,CESD-S-3-N1_bin.9.purify_k141_801244,CESD-S-3-N1_bin.9.purify_k141_801244_7007-8488
3408,GH-N1_bin.19.purify_k141_2309981_23,candidate,GH-N1_bin.19.purify_k141_2309981,GH-N1_bin.19.purify_k141_2309981_22861-24931
3409,KMC-20S-1-N1_bin.4.purify_k141_1545940_7,known_defense,KMC-20S-1-N1_bin.4.purify_k141_1545940,KMC-20S-1-N1_bin.4.purify_k141_1545940_1760-7040
3410,QHH7-N1_bin.118.purify_k141_670391_10,known_defense,QHH7-N1_bin.118.purify_k141_670391,QHH7-N1_bin.118.purify_k141_670391_2319-8588
3410,SD-S-N1_bin.26.purify_k141_2149507_2,candidate,SD-S-N1_bin.26.purify_k141_2149507,SD-S-N1_bin.26.purify_k141_2149507_237-2818
3410,YZYC-20S-1-N1_bin.69.purify_k141_2014112_2,candidate,YZYC-20S-1-N1_bin.69.purify_k141_2014112,YZYC-20S-1-N1_bin.69.purify_k141_2014112_1-1489
3411,KMC-20S-1-N1_bin.133.purify_k141_1191177_3,candidate,KMC-20S-1-N1_bin.133.purify_k141_1191177,KMC-20S-1-N1_bin.133.purify_k141_1191177_1352-3261
3411,SLC-S-3-N1_bin.219.purify_k141_2361745_6,candidate,SLC-S-3-N1_bin.219.purify_k141_2361745,SLC-S-3-N1_bin.219.purify_k141_2361745_5674-7981
3411,YZYC-20S-4-N1_bin.43.purify_k141_1149200_2,candidate,YZYC-20S-4-N1_bin.43.purify_k141_1149200,YZYC-20S-4-N1_bin.43.purify_k141_1149200_3-2407
3412,SLC-S-7-N1_bin.114.purify_k141_956235_6,candidate,SLC-S-7-N1_bin.114.purify_k141_956235,SLC-S-7-N1_bin.114.purify_k141_956235_4407-6330
3413,202009TB-N7_bin.54.purify_k141_830723_14,candidate,202009TB-N7_bin.54.purify_k141_830723,202009TB-N7_bin.54.purify_k141_830723_11504-14726
3414,202104TB-W31-N1_bin.79.purify_k141_47334_2,candidate,202104TB-W31-N1_bin.79.purify_k141_47334,202104TB-W31-N1_bin.79.purify_k141_47334_2-2635
3415,202104TB-W37-N1_bin.151.purify_k141_719360_2,known_defense,202104TB-W37-N1_bin.151.purify_k141_719360,202104TB-W37-N1_bin.151.purify_k141_719360_1-1948
3416,202104TB-W69-N1_bin.47.purify_k141_498218_1,candidate,202104TB-W69-N1_bin.47.purify_k141_498218,202104TB-W69-N1_bin.47.purify_k141_498218_412-2192
3417,202106QH-W15-N1_bin.47.purify_k141_214584_198,candidate,202106QH-W15-N1_bin.47.purify_k141_214584,202106QH-W15-N1_bin.47.purify_k141_214584_205380-208050
3418,202106QH-W27-N1_bin.141.purify_k141_2123680_4,known_defense,202106QH-W27-N1_bin.141.purify_k141_2123680,202106QH-W27-N1_bin.141.purify_k141_2123680_1263-3602
3419,BMC20S-2-N1_bin.5.purify_k141_2787502_3,candidate,BMC20S-2-N1_bin.5.purify_k141_2787502,BMC20S-2-N1_bin.5.purify_k141_2787502_120-2514
3420,CN-B-S-2-N2_bin.63.purify_k141_219177_2,known_defense,CN-B-S-2-N2_bin.63.purify_k141_219177,CN-B-S-2-N2_bin.63.purify_k141_219177_1-1727
3421,DQZB-s5-N2_bin.41.purify_k141_80975_3,candidate,DQZB-s5-N2_bin.41.purify_k141_80975,DQZB-s5-N2_bin.41.purify_k141_80975_688-2055
3422,DQZB-s7-N1_bin.27.purify_k141_725729_4,known_defense,DQZB-s7-N1_bin.27.purify_k141_725729,DQZB-s7-N1_bin.27.purify_k141_725729_892-3518
3423,LLSD-3-N1_bin.115.purify_k141_986846_8,candidate,LLSD-3-N1_bin.115.purify_k141_986846,LLSD-3-N1_bin.115.purify_k141_986846_7866-9811
3424,NMC-S-6-N1_bin.81.purify_k141_2159574_2,known_defense,NMC-S-6-N1_bin.81.purify_k141_2159574,NMC-S-6-N1_bin.81.purify_k141_2159574_1-9434
3425,PC-20S-4-N1_bin.38.purify_k141_726565_1,candidate,PC-20S-4-N1_bin.38.purify_k141_726565,PC-20S-4-N1_bin.38.purify_k141_726565_2-1552
3426,QHH7-N1_bin.101.purify_k141_1546207_4,candidate,QHH7-N1_bin.101.purify_k141_1546207,QHH7-N1_bin.101.purify_k141_1546207_857-3807
3427,202009TB-N7_bin.32.purify_k141_806471_2,candidate,202009TB-N7_bin.32.purify_k141_806471,202009TB-N7_bin.32.purify_k141_806471_209-2190
3427,202106QH-W27-N1_bin.128.purify_k141_1479153_2,candidate,202106QH-W27-N1_bin.128.purify_k141_1479153,202106QH-W27-N1_bin.128.purify_k141_1479153_2268-3991
3427,NMC-S-6-N1_bin.35.purify_k141_2019361_5,known_defense,NMC-S-6-N1_bin.35.purify_k141_2019361,NMC-S-6-N1_bin.35.purify_k141_2019361_2558-4332
3427,PC-20S-3-N1_bin.125.purify_k141_857974_2,candidate,PC-20S-3-N1_bin.125.purify_k141_857974,PC-20S-3-N1_bin.125.purify_k141_857974_326-2109
3427,QHH17-N1_bin.24.purify_k141_1657563_2,candidate,QHH17-N1_bin.24.purify_k141_1657563,QHH17-N1_bin.24.purify_k141_1657563_752-2523
3427,QHH8-N1_bin.151.purify_k141_2524159_5,candidate,QHH8-N1_bin.151.purify_k141_2524159,QHH8-N1_bin.151.purify_k141_2524159_2082-5029
3428,ZJ-S-2-N2_bin.103.purify_k141_2737537_7,candidate,ZJ-S-2-N2_bin.103.purify_k141_2737537,ZJ-S-2-N2_bin.103.purify_k141_2737537_7129-8809
3429,202009TB-N7_bin.19.purify_k141_1154714_11,candidate,202009TB-N7_bin.19.purify_k141_1154714,202009TB-N7_bin.19.purify_k141_1154714_5788-9293
3430,202104TB-W49-N1_bin.32.purify_k141_1346100_2,known_defense,202104TB-W49-N1_bin.32.purify_k141_1346100,202104TB-W49-N1_bin.32.purify_k141_1346100_910-3281
3431,202104TB-W59-N1_bin.14.purify_k141_1732238_8,candidate,202104TB-W59-N1_bin.14.purify_k141_1732238,202104TB-W59-N1_bin.14.purify_k141_1732238_6495-8957
3432,202106QH-W18-N1_bin.10.purify_k141_2076875_2,candidate,202106QH-W18-N1_bin.10.purify_k141_2076875,202106QH-W18-N1_bin.10.purify_k141_2076875_1123-3113
3432,202106QH-W27-N1_bin.220.purify_k141_494283_4,known_defense,202106QH-W27-N1_bin.220.purify_k141_494283,202106QH-W27-N1_bin.220.purify_k141_494283_1217-3207
3432,202106QH-W29-N1_bin.161.purify_k141_116829_4,known_defense,202106QH-W29-N1_bin.161.purify_k141_116829,202106QH-W29-N1_bin.161.purify_k141_116829_715-2705
3432,202106QH-W38-N1_bin.51.purify_k141_1382426_2,known_defense,202106QH-W38-N1_bin.51.purify_k141_1382426,202106QH-W38-N1_bin.51.purify_k141_1382426_1034-3024
3432,202106QH-W39-N1_bin.132.purify_k141_1740415_3,known_defense,202106QH-W39-N1_bin.132.purify_k141_1740415,202106QH-W39-N1_bin.132.purify_k141_1740415_487-2477
3432,202106QH-W40-N1_bin.83.purify_k141_106811_5,known_defense,202106QH-W40-N1_bin.83.purify_k141_106811,202106QH-W40-N1_bin.83.purify_k141_106811_5055-7045
3432,GMZ4-N1_bin.171.purify_k141_1855403_3,candidate,GMZ4-N1_bin.171.purify_k141_1855403,GMZ4-N1_bin.171.purify_k141_1855403_2153-4093
3433,202106QH-W19-N1_bin.117.purify_k141_999675_4,known_defense,202106QH-W19-N1_bin.117.purify_k141_999675,202106QH-W19-N1_bin.117.purify_k141_999675_832-2359
3433,202106QH-W27-N1_bin.43.purify_k141_352534_3,known_defense,202106QH-W27-N1_bin.43.purify_k141_352534,202106QH-W27-N1_bin.43.purify_k141_352534_562-2089
3433,PC-20S-2-N1_bin.131.purify_k141_733669_6,candidate,PC-20S-2-N1_bin.131.purify_k141_733669,PC-20S-2-N1_bin.131.purify_k141_733669_6861-8115
3434,202106QH-W30-N1_bin.106.purify_k141_1657279_2,known_defense,202106QH-W30-N1_bin.106.purify_k141_1657279,202106QH-W30-N1_bin.106.purify_k141_1657279_1008-2866
3434,QHH7-N1_bin.118.purify_k141_2133212_15,candidate,QHH7-N1_bin.118.purify_k141_2133212,QHH7-N1_bin.118.purify_k141_2133212_9772-16248
3434,YZYC-20S-4-N1_bin.45.purify_k141_1801027_2,candidate,YZYC-20S-4-N1_bin.45.purify_k141_1801027,YZYC-20S-4-N1_bin.45.purify_k141_1801027_201-2059
3435,CC-20S-1-N1_bin.99.purify_k141_1215942_3,known_defense,CC-20S-1-N1_bin.99.purify_k141_1215942,CC-20S-1-N1_bin.99.purify_k141_1215942_1540-3827
3436,JC-20S-2-N1_bin.13.purify_k141_941459_3,known_defense,JC-20S-2-N1_bin.13.purify_k141_941459,JC-20S-2-N1_bin.13.purify_k141_941459_1366-3812
3437,JC-20S-3-N1_bin.85.purify_k141_1509282_2,known_defense,JC-20S-3-N1_bin.85.purify_k141_1509282,JC-20S-3-N1_bin.85.purify_k141_1509282_1-2114
3438,202106QH-W24-N1_bin.184.purify_k141_2716877_14,candidate,202106QH-W24-N1_bin.184.purify_k141_2716877,202106QH-W24-N1_bin.184.purify_k141_2716877_12671-14343
3438,CE-20S-1-N1_bin.25.purify_k141_764637_13,known_defense,CE-20S-1-N1_bin.25.purify_k141_764637,CE-20S-1-N1_bin.25.purify_k141_764637_10988-12348
3438,CN-B-S-N1_bin.51.purify_k141_580461_11,candidate,CN-B-S-N1_bin.51.purify_k141_580461,CN-B-S-N1_bin.51.purify_k141_580461_5485-6529
3438,LLSD-5-N1_bin.68.purify_k141_203323_4,candidate,LLSD-5-N1_bin.68.purify_k141_203323,LLSD-5-N1_bin.68.purify_k141_203323_3356-4761
3438,QHH17-N1_bin.181.purify_k141_1461770_3,candidate,QHH17-N1_bin.181.purify_k141_1461770,QHH17-N1_bin.181.purify_k141_1461770_845-2205
3438,TBCBL-03-N1_bin.31.purify_k141_656212_12,candidate,TBCBL-03-N1_bin.31.purify_k141_656212,TBCBL-03-N1_bin.31.purify_k141_656212_11316-12721
3439,NMC-S-7-N1_bin.160.purify_k141_298970_5,candidate,NMC-S-7-N1_bin.160.purify_k141_298970,NMC-S-7-N1_bin.160.purify_k141_298970_3695-6562
3440,202104TB-W48-N1_bin.70.purify_k141_657236_35,known_defense,202104TB-W48-N1_bin.70.purify_k141_657236,202104TB-W48-N1_bin.70.purify_k141_657236_35134-38101
3440,202104TB-W50-N1_bin.7.purify_k141_2043839_3,known_defense,202104TB-W50-N1_bin.7.purify_k141_2043839,202104TB-W50-N1_bin.7.purify_k141_2043839_1283-4250
3440,202106QH-W27-N1_bin.180.purify_k141_395021_5,candidate,202106QH-W27-N1_bin.180.purify_k141_395021,202106QH-W27-N1_bin.180.purify_k141_395021_1462-2804
3440,BGBMC-20S-1-N1_bin.13.purify_k141_597172_2,candidate,BGBMC-20S-1-N1_bin.13.purify_k141_597172,BGBMC-20S-1-N1_bin.13.purify_k141_597172_279-2241
3440,BMC20S-2-N1_bin.331.purify_k141_1332854_3,candidate,BMC20S-2-N1_bin.331.purify_k141_1332854,BMC20S-2-N1_bin.331.purify_k141_1332854_603-2365
3440,CE-20S-1-N1_bin.157.purify_k141_1445984_2,candidate,CE-20S-1-N1_bin.157.purify_k141_1445984,CE-20S-1-N1_bin.157.purify_k141_1445984_1-2361
3440,QHH10-N1_bin.47.purify_k141_2009855_4,candidate,QHH10-N1_bin.47.purify_k141_2009855,QHH10-N1_bin.47.purify_k141_2009855_1797-8670
3440,QHH17-N1_bin.55.purify_k141_1696561_3,candidate,QHH17-N1_bin.55.purify_k141_1696561,QHH17-N1_bin.55.purify_k141_1696561_1-6796
3440,SLC-S-3-N1_bin.88.purify_k141_2069048_6,known_defense,SLC-S-3-N1_bin.88.purify_k141_2069048,SLC-S-3-N1_bin.88.purify_k141_2069048_5169-6928
3440,YZYC-20S-8-N1_bin.122.purify_k141_519405_3,known_defense,YZYC-20S-8-N1_bin.122.purify_k141_519405,YZYC-20S-8-N1_bin.122.purify_k141_519405_218-3366
3441,QHH6-N1_bin.112.purify_k141_1243219_1,candidate,QHH6-N1_bin.112.purify_k141_1243219,QHH6-N1_bin.112.purify_k141_1243219_1-1709
3442,QHH6-N1_bin.184.purify_k141_1358539_6,candidate,QHH6-N1_bin.184.purify_k141_1358539,QHH6-N1_bin.184.purify_k141_1358539_4719-6925
3443,TMRSD-N1_bin.70.purify_k141_4396428_1,known_defense,TMRSD-N1_bin.70.purify_k141_4396428,TMRSD-N1_bin.70.purify_k141_4396428_3-2593
3444,YMH1-N1_bin.89.purify_k141_3379078_10,candidate,YMH1-N1_bin.89.purify_k141_3379078,YMH1-N1_bin.89.purify_k141_3379078_5333-6985
3445,ZJZBSD-s03-2-N1_bin.79.purify_k141_572888_3,candidate,ZJZBSD-s03-2-N1_bin.79.purify_k141_572888,ZJZBSD-s03-2-N1_bin.79.purify_k141_572888_384-2202
3446,202106QH-W28-N1_bin.103.purify_k141_1659066_1,candidate,202106QH-W28-N1_bin.103.purify_k141_1659066,202106QH-W28-N1_bin.103.purify_k141_1659066_3-2970
3447,202106QH-W30-N1_bin.2.purify_k141_460335_4,known_defense,202106QH-W30-N1_bin.2.purify_k141_460335,202106QH-W30-N1_bin.2.purify_k141_460335_2923-7161
3448,BMC20S-2-N1_bin.278.purify_k141_2743783_25,known_defense,BMC20S-2-N1_bin.278.purify_k141_2743783,BMC20S-2-N1_bin.278.purify_k141_2743783_24713-26624
